列名,列的含义,解释
net_loan_and_advance_increase,客户贷款及垫款净增加额(元),客户贷款是科目核算信托项目管理运用、处分信托财产而持有的各项贷款。垫款是指银行在客户无力支付到期款项的情况下,被迫以自有资金代为支付的行为。
net_deposit_in_cb_and_ib,存放中央银行和同业款项净增加额(元),存放中央银行款项是指各金融企业在中央银行开户而存入的用于支付清算、调拨款项、提取及缴存现金、往来资金结算以及按吸收存款的一定比例缴存于中央银行的款项和其他需要缴存的款项。存放同业是指商业银行存放在其他银行和非银行金融机构的存款。
original_compensation_paid,支付原保险合同赔付款项的现金(元),赔付支出主要指核算企业(保险)支付的原保险合同赔付款项和再保险合同赔付款项。原保险即是区别于再保险的名词。
handling_charges_and_commission,支付利息、手续费及佣金的现金(元),一般是指涉及到贷款利息,银行扣缴的手续费及佣金等现金的流出,用在利息指出,或者银行手续费支出,佣金支出等业务上。
policy_dividend_cash_paid,支付保单红利的现金(元),保单红利支出是根据原保险合同的约定,按照分红保险产品的红利分配方法及有关精算结果而估算,支付给保单持有人的红利。
staff_behalf_paid,支付给职工以及为职工支付的现金(元),这个项目反映企业实际支付给职工的现金以及为职工支付的现金,包括本期实际支付给职工的工资、奖金、各种津贴和补贴等,以及为职工支付的其他费用。不包括支付的离退休人员的各项费用和支付给在建工程人员的工资等。
tax_payments,支付的各项税费(元),反映企业本期发生并支付的、本期支付以前各期发生的以及预交的教育费附加、矿产资源补偿费、印花税、房产税、土地增值税、车船使用税、预交的营业税等税费,计入固定资产价值、实际支付的耕地占用税、本期退回的增值税、所得税等除外。
other_operate_cash_paid,支付其他与经营活动有关的现金(元),反映企业支付的罚款支出、支付的差旅费、业务招待费、保险费、经营租赁支付的现金等其他与经营活动有关的现金流出,金额较大的应当单独列示。
subtotal_operate_cash_outflow,经营活动现金流出小计(元),购买商品、接受劳务支付的现金+支付给职工以及为职工支付的现金+支付的各项税费+支付其他与经营活动有关的现金。
net_operate_cash_flow,经营活动产生的现金流量净额(元),公式: 经营活动产生的现金流量净额
invest_withdrawal_cash,收回投资收到的现金(元),反映企业出售、转让或到期收回除现金等价物以外的交易性金融资产、长期股权投资而收到的现金,以及收回长期债权投资本金而收到的现金,但长期债权投资收回的利息除外。
invest_proceeds,取得投资收益收到的现金(元),反映企业因股权性投资而分得的现金股利,从子公司、联营企业或合营企业分回利润而收到的现金,以及因债权性投资而取得的现金利息收入,但股票股利除外。
fix_intan_other_asset_dispo_cash,处置固定资产、无形资产和其他长期资产收回的现金净额(元),反映企业出售、报废固定资产、无形资产和其他长期资产所取得的现金(包括因资产毁损而收到的保险赔偿收入),减去为处置这些资产而支付的有关费用后的净额,但现金净额为负数的除外。
net_cash_deal_subcompany,处置子公司及其他营业单位收到的现金净额(元),反映企业处置子公司及其他营业单位所取得的现金减去相关处置费用后的净额。
other_cash_from_invest_act,收到其他与投资活动有关的现金(元),反映企业除上述各项目外收到或支付的其他与投资活动有关的现金流入或流出,金额较大的应当单独列示。
subtotal_invest_cash_inflow,投资活动现金流入小计(元),取得投资收益收到的现金+处置固定资产、无形资产和其他长期资产收回的现金净额+处置子公司及其他营业单位收到的现金净额+收到其他与投资活动有关的现金。
fix_intan_other_asset_acqui_cash,购建固定资产、无形资产和其他长期资产支付的现金(元),反映企业购买、建造固定资产、取得无形资产和其他长期资产所支付的现金及增值税款、支付的应由在建工程和无形资产负担的职工薪酬现金支出,但为购建固定资产而发生的借款利息资本化部分、融资租入固定资产所支付的租赁费除外。
invest_cash_paid,投资支付的现金(元),反映企业取得的除现金等价物以外的权益性投资和债权性投资所支付的现金以及支付的佣金、手续费等附加费用。
impawned_loan_net_increase,质押贷款净增加额(元),质押贷款是指贷款人按《担保法》规定的质押方式以借款人或第三人的动产或权利为质押物发放的贷款。
net_cash_from_sub_company,取得子公司及其他营业单位支付的现金净额(元),反映企业购买子公司及其他营业单位购买出价中以现金支付的部分,减去子公司或其他营业单位持有的现金和现金等价物后的净额。
other_cash_to_invest_act,支付其他与投资活动有关的现金(元),现金流量表科目。
subtotal_invest_cash_outflow,投资活动现金流出小计(元),购建固定资产、无形资产和其他长期资产支付的现金+投资支付的现金+取得子公司及其他营业单位支付的现金净额+支付其他与投资活动有关的现金。
net_invest_cash_flow,投资活动产生的现金流量净额(元),现金流量表科目。
cash_from_invest,吸收投资收到的现金(元),反映企业以发行股票、债券等方式筹集资金实际收到的款项,减去直接支付给金融企业的佣金、手续费、宣传费、咨询费、印刷费等发行费用后的净额。
cash_from_mino_s_invest_sub,子公司吸收少数股东投资收到的现金(元),《企业会计准则第33 号——合并财务报表》合并现金流量表科目。具体核算范围和方法参见上市公司定期报告。
cash_from_borrowing,取得借款收到的现金(元),反映企业举借各种短期、长期借款而收到的现金。
cash_from_bonds_issue,发行债券收到的现金(元),反映商业银行本期发行债券收到的本金。
other_finance_act_cash,收到其他与筹资活动有关的现金(元),反映企业除上述项目外,收到或支付的其他与筹资活动有关的现金流入或流出,包括以发行股票、债券等方式筹集资金而由企业直接支付的审计和咨询等费用、为购建固定资产而发生的借款利息资本化部分、融资租入固定资产所支付的租赁费、以分期付款方式购建固定资产以后各期支付的现金等。
subtotal_finance_cash_inflow,筹资活动现金流入小计(元),吸收投资收到的现金+取得借款收到的现金+收到其他与筹资活动有关的现金+发行债券收到的现金。
borrowing_repayment,偿还债务支付的现金(元),反映企业以现金偿还债务的本金。
dividend_interest_payment,分配股利、利润或偿付利息支付的现金(元),反映企业实际支付的现金股利、支付给其他投资单位的利润或用现金支付的借款利息、债券利息。
proceeds_from_sub_to_mino_s,子公司支付给少数股东的股利、利润(元),一般企业现金流量表科目。
other_finance_act_payment,支付其他与筹资活动有关的现金(元),包括:筹资费用所支付的现金,融资租赁所支付的现金,减少注册资本所支付的现金(收购本公司股票、退还联营单位的联营投资等)企业以分期付款方式构建固定资产除首期付款支付的现金以外的其他各期所支付的现金。
subtotal_finance_cash_outflow,筹资活动现金流出小计(元),现金流量表科目。
net_finance_cash_flow,筹资活动产生的现金流量净额(元),现金流量表科目。
exchange_rate_change_effect,汇率变动对现金及现金等价物的影响,指企业外币现金流量及境外子公司的现金流量折算成记账本位币时,所采用的是现金流量发生日的汇率或即期汇率的近似汇率。
cash_equivalent_increase,现金及现金等价物净增加额,中外币现金净增加额按期末汇率折算的金额。
cash_equivalents_at_beginning,期初现金及现金等价物余额(元),现金流量表科目。
cash_and_equivalents_at_end,期末现金及现金等价物余额(元),现金流量表科目。
